# intensity_mean 	            intensity_std 	 backgroudn_mean 	 backgroudn_std 	 number_inner_pixels
3.423700080623488248e+03 2.879853049667678278e+01 3.415746913580247110e+03 2.094829370121899714e+01 2.000000000000000000e+00
3.420853533996237729e+03 2.450034512109837692e+01 3.415311676909569996e+03 1.552257283805814936e+01 2.000000000000000000e+00
3.418745229776941869e+03 1.888576158953068429e+01 3.416139044943820409e+03 1.616849631985519764e+01 2.000000000000000000e+00
3.407046761623219481e+03 2.480115960456560487e+01 3.403031927710843320e+03 1.718890977274292453e+01 2.000000000000000000e+00
3.424323568933082697e+03 1.431392973720068262e+01 3.420692087702574099e+03 1.246698382638294689e+01 2.000000000000000000e+00
3.404903251814028408e+03 1.304229131373994477e+01 3.404105113636363512e+03 1.205811104744608464e+01 2.000000000000000000e+00
3.406452297769416873e+03 2.466662311401754337e+01 3.401422929936305536e+03 1.759261524505939178e+01 2.000000000000000000e+00
3.418747648481591114e+03 1.754132098590984867e+01 3.416212232415902236e+03 1.392859368090096339e+01 2.000000000000000000e+00
3.429856758935769903e+03 2.344133122953177661e+01 3.419103448275861865e+03 1.128967366244094528e+01 2.000000000000000000e+00
3.409950819672131274e+03 2.916292536888143871e+01 3.404878314393939490e+03 1.161723279943670484e+01 2.000000000000000000e+00
3.410269013705993075e+03 2.935740944278222031e+01 3.402309991460290348e+03 1.687074671957650196e+01 2.000000000000000000e+00
3.418705186777747713e+03 1.427065507665647637e+01 3.417001766784452229e+03 1.281776306076868721e+01 2.000000000000000000e+00
3.425931470034936865e+03 1.791991144635875699e+01 3.421773104265402708e+03 1.194115952650620827e+01 2.000000000000000000e+00
3.428550927170115756e+03 2.225057394004595324e+01 3.424342063492063517e+03 1.273507749943453149e+01 2.000000000000000000e+00
3.422383230314431785e+03 1.284295727697792167e+01 3.421089306029578893e+03 1.170972824058475581e+01 2.000000000000000000e+00
3.422702230583176515e+03 1.220333056742964928e+01 3.422685132575757507e+03 1.212040316569916421e+01 2.000000000000000000e+00
3.474400429991937472e+03 1.752690681978642715e+02 3.424808493589743648e+03 1.474758862209770172e+01 2.000000000000000000e+00
3.420399086267132589e+03 5.546504756555631843e+01 3.409321714285714279e+03 1.175579795814189055e+01 2.000000000000000000e+00
3.422504971781779204e+03 2.256551367514781958e+01 3.417501750291715325e+03 1.567889005008081504e+01 2.000000000000000000e+00
3.421244826659500177e+03 2.230754209986554670e+01 3.415888594164456208e+03 2.023150633756064565e+01 2.000000000000000000e+00
3.412092717011556033e+03 3.035312644587440545e+01 3.402997616209773696e+03 1.676429869235534653e+01 2.000000000000000000e+00
3.421246707874227468e+03 1.340510079297964019e+01 3.419494259471871374e+03 1.171792082832419979e+01 2.000000000000000000e+00
3.423920988981456503e+03 1.411793123893249557e+01 3.421673361522198775e+03 1.139957849033248216e+01 2.000000000000000000e+00
3.426036280569739120e+03 1.812464014876417906e+01 3.421328327645051104e+03 1.180701111787822200e+01 2.000000000000000000e+00
3.475857027680730880e+03 1.747576014925278116e+02 3.430633893919793081e+03 1.683998936721283712e+01 2.000000000000000000e+00
3.417336199946250872e+03 1.578516080896588925e+01 3.415010849909584067e+03 1.414856599275604232e+01 2.000000000000000000e+00
3.426994893845740535e+03 2.370938954597076531e+01 3.420785112359550567e+03 1.150910254014230816e+01 2.000000000000000000e+00
3.423694168234345398e+03 1.472746196183594769e+01 3.420856272838002496e+03 1.169434314640736261e+01 2.000000000000000000e+00
3.421279763504434413e+03 5.528144929756849280e+01 3.410433714285714359e+03 1.105316530894832638e+01 2.000000000000000000e+00
3.404597957538296214e+03 1.614089523288337347e+01 3.403458800585080553e+03 1.521709098175697150e+01 2.000000000000000000e+00
3.420130610051061467e+03 2.394997543150923747e+01 3.417278124999999818e+03 2.163361438790048652e+01 2.000000000000000000e+00
3.420382692824509377e+03 2.150714115148851135e+01 3.417725748502994065e+03 1.943058261111611174e+01 2.000000000000000000e+00
3.425198871271163625e+03 3.574743000202045806e+01 3.418582230623818305e+03 1.487359083789456804e+01 2.000000000000000000e+00
3.417975544208546125e+03 7.998992608993258102e+01 3.404486104339346639e+03 1.277358534940496249e+01 2.000000000000000000e+00
3.427235151840903200e+03 2.340928066877559743e+01 3.421905818836232811e+03 1.139360194588668485e+01 2.000000000000000000e+00
3.417743886052136531e+03 2.320870873374465049e+01 3.416076683937823873e+03 2.265223285357177119e+01 2.000000000000000000e+00
3.411175221714592681e+03 3.534572123362150364e+01 3.404067234848484986e+03 1.226746691972977565e+01 2.000000000000000000e+00
3.433101316850309104e+03 5.359085046761586568e+01 3.422966025641025681e+03 1.111268619465523244e+01 2.000000000000000000e+00
3.410319537758667138e+03 2.769481370501683770e+01 3.402787671232876619e+03 1.726613158922101121e+01 2.000000000000000000e+00
3.422061005106154425e+03 4.476127712748546372e+01 3.406742971887550084e+03 1.141849943383520305e+01 2.000000000000000000e+00
3.429281913464122681e+03 2.365667081067625332e+01 3.423705154639175362e+03 1.184968894397107064e+01 2.000000000000000000e+00
3.409276001074979831e+03 2.385140297868445813e+01 3.404214104515474446e+03 1.134164901957567650e+01 2.000000000000000000e+00
