# intensity_mean 	intensity_std 	 backgroudn_mean 	 backgroudn_std 	 number_inner_pixels
3.448738988580750629e+03 3.928878811324803166e+01 3.425974820143884699e+03 1.326091565316880860e+01 6.130000000000000000e+02
3.422420880913539804e+03 2.110338927049322422e+01 3.416199999999999818e+03 1.844513914002105892e+01 6.130000000000000000e+02
3.422980424143556320e+03 1.975592359965083844e+01 3.417311787072243533e+03 1.689426224510478036e+01 6.130000000000000000e+02
3.435096247960848359e+03 1.721153874169736397e+01 3.425471794871794827e+03 1.355399361562050586e+01 6.130000000000000000e+02
3.418654159869494379e+03 1.713570639792374450e+01 3.417105140186915833e+03 1.718435421112020833e+01 6.130000000000000000e+02
3.430569331158238128e+03 2.121306129957365627e+01 3.425241733181299878e+03 1.372920849798921594e+01 6.130000000000000000e+02
3.427251223491027758e+03 1.469745522814513272e+01 3.424397660818713575e+03 1.298828961191005860e+01 6.130000000000000000e+02
3.414738988580750629e+03 1.575030687564112242e+01 3.418569606801275313e+03 1.337971130305704470e+01 6.130000000000000000e+02
3.422696574225122276e+03 1.732171184241053297e+01 3.415939012584704869e+03 1.397353181127009769e+01 6.130000000000000000e+02
3.427768352365415922e+03 1.564612257945827345e+01 3.423412731006160357e+03 1.272340735003770185e+01 6.130000000000000000e+02
3.432683523654159671e+03 1.610450189806689281e+01 3.424086772486772588e+03 1.294313507879039449e+01 6.130000000000000000e+02
3.426659053833605412e+03 1.322645911187916035e+01 3.424923694779116431e+03 1.275443333703520565e+01 6.130000000000000000e+02
3.431030995106035789e+03 1.674744805828346372e+01 3.425475035663338076e+03 1.374460408319801807e+01 6.130000000000000000e+02
3.416190864600326222e+03 2.049392815191512796e+01 3.414085427135678401e+03 1.772905342567162990e+01 6.130000000000000000e+02
3.425078303425774720e+03 1.303241293880160256e+01 3.424045506257110446e+03 1.289999072896614507e+01 6.130000000000000000e+02
3.428055464926590503e+03 1.496609077451275560e+01 3.418407999999999902e+03 1.141794797676009665e+01 6.130000000000000000e+02
3.427539967373572381e+03 2.548044930084947524e+01 3.416782051282051270e+03 1.969401451604151632e+01 6.130000000000000000e+02
3.423916802610114246e+03 2.356327626777822815e+01 3.414850980392156998e+03 1.546359890826498251e+01 6.130000000000000000e+02
3.421163132137030971e+03 1.863707152999599970e+01 3.414482185273159303e+03 1.651984456897978859e+01 6.130000000000000000e+02
3.415202283849918331e+03 3.197957435396383730e+01 3.403360439560439772e+03 1.637391975546585599e+01 6.130000000000000000e+02
3.423502446982055517e+03 1.293838115452306603e+01 3.420187239944521480e+03 1.230663040890899040e+01 6.130000000000000000e+02
3.409075040783034183e+03 1.598380849392923153e+01 3.404719491525423564e+03 1.201228720141381778e+01 6.130000000000000000e+02
3.407161500815660474e+03 1.942455230710775993e+01 3.401593650793650795e+03 1.749291502550947541e+01 6.130000000000000000e+02
3.429549755301794448e+03 2.468786323872764044e+01 3.416086763070077723e+03 1.378781008263816688e+01 6.130000000000000000e+02
3.429603588907014455e+03 2.074850068697960381e+01 3.417377777777777737e+03 1.066544553195325840e+01 6.130000000000000000e+02
3.437034257748776326e+03 5.982342534120809319e+01 3.405538983050847492e+03 1.171089622920629125e+01 6.130000000000000000e+02
3.417740619902120670e+03 3.585619634848993798e+01 3.401456934306569565e+03 1.677859165862198410e+01 6.130000000000000000e+02
3.422657422512234916e+03 1.488652339113012779e+01 3.416828125000000000e+03 1.278810839558830814e+01 6.130000000000000000e+02
3.432911908646003212e+03 2.289401223451097778e+01 3.422010743061772700e+03 1.190727646613096269e+01 6.130000000000000000e+02
3.423655791190864420e+03 1.342554672858028120e+01 3.424358068315665605e+03 1.296044299872686345e+01 6.130000000000000000e+02
3.424585644371941271e+03 1.293053051365474460e+01 3.420391829155060350e+03 1.151441904560594587e+01 6.130000000000000000e+02
3.422491027732463408e+03 1.268216050961849461e+01 3.423150847457627151e+03 1.214283457373958441e+01 6.130000000000000000e+02
3.433636215334420740e+03 2.044280909638759525e+01 3.426331420373027413e+03 1.567534878044396862e+01 6.130000000000000000e+02
3.422128874388254644e+03 2.816482652853136770e+01 3.409913043478260988e+03 1.166234218005079093e+01 6.130000000000000000e+02
3.424350734094616655e+03 2.037421491075073021e+01 3.416022556390977570e+03 1.471571006741344334e+01 6.130000000000000000e+02
3.428021207177814176e+03 2.317296915987778050e+01 3.416832167832167670e+03 2.031775069250042520e+01 6.130000000000000000e+02
3.424949429037520531e+03 3.997020571248629039e+01 3.403669865642994409e+03 1.640848622315596472e+01 6.130000000000000000e+02
3.424195758564437256e+03 1.614920787921340306e+01 3.419166202414113286e+03 1.134351158695463013e+01 6.130000000000000000e+02
3.425667210440456984e+03 1.532785323240926978e+01 3.421980442176870838e+03 1.132161822621933744e+01 6.130000000000000000e+02
3.436293637846655656e+03 2.598484767370742077e+01 3.422039458850056235e+03 1.180380859467086196e+01 6.130000000000000000e+02
3.711308319738988757e+03 3.428513314027644014e+02 3.438230443974629907e+03 2.087731613446427303e+01 6.130000000000000000e+02
3.420402936378466620e+03 1.730578431689913899e+01 3.415161323681489193e+03 1.399589367706611043e+01 6.130000000000000000e+02
3.433685154975530168e+03 2.453350191072841824e+01 3.420491442542787354e+03 1.143357771592352279e+01 6.130000000000000000e+02
3.426548123980423952e+03 1.594156490394172110e+01 3.419087523277467426e+03 1.121741184510567102e+01 6.130000000000000000e+02
3.464603588907014455e+03 1.219978784086941346e+02 3.410801383399209499e+03 1.090450273531023839e+01 6.130000000000000000e+02
3.409148450244698324e+03 1.949415317991133989e+01 3.403116101694915415e+03 1.547526988532208136e+01 6.130000000000000000e+02
3.416721044045676990e+03 2.145450433287491876e+01 3.416823809523809359e+03 2.150664138313480223e+01 6.130000000000000000e+02
3.424003262642740538e+03 2.100726175519814021e+01 3.417243761996161084e+03 1.980422618318997152e+01 6.130000000000000000e+02
3.461879282218596927e+03 7.016374540650232916e+01 3.418739650413983327e+03 1.455160284697078055e+01 6.130000000000000000e+02
3.486996737357259462e+03 1.797287969306119351e+02 3.405903389830508331e+03 1.290752593633592937e+01 6.130000000000000000e+02
3.451730831973899058e+03 4.384104067087750423e+01 3.423323163841807855e+03 1.161440636398800663e+01 6.130000000000000000e+02
3.425120717781403073e+03 2.797601707930957105e+01 3.414914893617021335e+03 2.235671138914708322e+01 6.130000000000000000e+02
3.445388254486133974e+03 7.336982674813305039e+01 3.404318644067796413e+03 1.245283269899842793e+01 6.130000000000000000e+02
3.425817292006525349e+03 1.424234070250909312e+01 3.421994606256742372e+03 1.085667006145951063e+01 6.130000000000000000e+02
3.420815660685154853e+03 3.540914826487757239e+01 3.402752396166134076e+03 1.717215134449740077e+01 6.130000000000000000e+02
3.455443719412724477e+03 7.202377834107885235e+01 3.408771641791044658e+03 1.172216049021056072e+01 6.130000000000000000e+02
3.456828711256117458e+03 4.169826780355649731e+01 3.424009322033898115e+03 1.162087898370520378e+01 6.130000000000000000e+02
3.412936378466557926e+03 1.876203338755039951e+01 3.404895051194539064e+03 1.137531049334059574e+01 6.130000000000000000e+02
3.419246329526916725e+03 2.585831025421023810e+01 3.405758474576271055e+03 1.080019480576966195e+01 6.130000000000000000e+02
3.428951060358890572e+03 3.976978063262757956e+01 3.405861173814898393e+03 1.102029342827056624e+01 6.130000000000000000e+02
3.425673735725938059e+03 1.386386545399840386e+01 3.421800000000000182e+03 1.198829938039163068e+01 6.130000000000000000e+02
3.442437194127242947e+03 4.157508257340149527e+01 3.421759656652360718e+03 1.219715381781761998e+01 6.130000000000000000e+02
3.443577487765089700e+03 2.272409050510290740e+01 3.423785905441569867e+03 1.140952140473393683e+01 6.130000000000000000e+02
3.430417618270799267e+03 1.563068309555689694e+01 3.423831545064377679e+03 1.195676010485493990e+01 6.130000000000000000e+02
3.407871125611745356e+03 1.812908305467960801e+01 3.403405940594059302e+03 1.731899025507020795e+01 6.130000000000000000e+02
3.447340946166394588e+03 6.459536170717136372e+01 3.404966949152542384e+03 1.139140737041610940e+01 6.130000000000000000e+02
3.428305057096247765e+03 1.380214149418311287e+01 3.423550000000000182e+03 1.094383388031817717e+01 6.130000000000000000e+02
3.442156606851549896e+03 3.135002011812127520e+01 3.425780508474576436e+03 1.951197267596373308e+01 6.130000000000000000e+02
3.405115823817292039e+03 1.889331154294244897e+01 3.403561256544502612e+03 1.769530261246612213e+01 6.130000000000000000e+02
3.443776508972267493e+03 3.216602479746489962e+01 3.424823728813559228e+03 1.109753887791328886e+01 6.130000000000000000e+02
3.415734094616639595e+03 2.173125403639445707e+01 3.416662295081967386e+03 2.186442701062825833e+01 6.130000000000000000e+02
3.429009787928222067e+03 1.369761659126469588e+01 3.426753607103218656e+03 1.091625374186776121e+01 6.130000000000000000e+02
3.443636215334420740e+03 5.950329855031556292e+01 3.408287066246056838e+03 1.225888938671083039e+01 6.130000000000000000e+02
3.653610114192495985e+03 3.748978584489972263e+02 3.430422033898305017e+03 1.249914665285988136e+01 6.130000000000000000e+02
3.405471451876019728e+03 1.799124086355607588e+01 3.401869143780290869e+03 1.756586500351790647e+01 6.130000000000000000e+02
3.418226753670473045e+03 2.309867764693903780e+01 3.413505836575875492e+03 2.208255127906981485e+01 6.130000000000000000e+02
3.413290375203915119e+03 1.397961188562110380e+01 3.408420338983050897e+03 1.076873660280924838e+01 6.130000000000000000e+02
3.413141924959216794e+03 2.252519533779425487e+01 3.403654929577464827e+03 1.759923404809276803e+01 6.130000000000000000e+02
3.433561174551386557e+03 2.373236293537684105e+01 3.421072033898305108e+03 1.076249282440927146e+01 6.130000000000000000e+02
3.428323001631321404e+03 1.423950606289307430e+01 3.425922279792745940e+03 1.133380339805475323e+01 6.130000000000000000e+02
3.417233278955954120e+03 1.437891112035303820e+01 3.417093517534537568e+03 1.466949999245547076e+01 6.130000000000000000e+02
3.428972267536704749e+03 1.935099208976835072e+01 3.428504237288135755e+03 1.846395891068756612e+01 6.130000000000000000e+02
4.849636215334420740e+03 3.270632017055512733e+03 3.431339830508474734e+03 1.930062631736232248e+01 6.130000000000000000e+02
3.412303425774877724e+03 2.284651828453802835e+01 3.402865359477124002e+03 1.708835677556730204e+01 6.130000000000000000e+02
3.419931484502446892e+03 1.662969308946379243e+01 3.417974495217853473e+03 1.713717202830638442e+01 6.130000000000000000e+02
3.430734094616639595e+03 1.826270401525013298e+01 3.420902542372881271e+03 1.241785866706990760e+01 6.130000000000000000e+02
3.593231647634584078e+03 2.975327448661663539e+02 3.428302809573361174e+03 1.132946589726663689e+01 6.130000000000000000e+02
3.558417618270799267e+03 2.253429327502723538e+02 3.431397621070518198e+03 1.183818660691681934e+01 6.130000000000000000e+02
3.415760195758564350e+03 2.240119683270371809e+01 3.413997333333333245e+03 2.219747717396931819e+01 6.130000000000000000e+02
3.493694942903752235e+03 6.977208239522971667e+01 3.419993150684931607e+03 1.449243854583111002e+01 6.130000000000000000e+02
3.455959216965742144e+03 4.651407863534978304e+01 3.428745329400196624e+03 1.202280037773898336e+01 6.130000000000000000e+02
3.415603588907014455e+03 2.209717055047347500e+01 3.414405511811023644e+03 2.207327028236916888e+01 6.130000000000000000e+02
3.436376835236541410e+03 2.133611812108592787e+01 3.423735930735930651e+03 1.020238741580692299e+01 6.130000000000000000e+02
3.437221859706362011e+03 2.330896903877970416e+01 3.426600713012477627e+03 1.085199076628039450e+01 6.130000000000000000e+02
3.426977161500815782e+03 1.314802662055034510e+01 3.423816860465116406e+03 1.043006363128351488e+01 6.130000000000000000e+02
3.420326264274061941e+03 3.642805032053296088e+01 3.402866949152542475e+03 1.547261416171858528e+01 6.130000000000000000e+02
